NAME,B01003_001E,B19013_001E,B17001_002E,state,county
"Pushmataha County, Oklahoma",11226,32445,2716,40,127
"Johnston County, Oklahoma",11022,38776,2070,40,069
"Beaver County, Oklahoma",5530,52090,492,40,007
"Hughes County, Oklahoma",13785,35563,2244,40,063
"Comanche County, Oklahoma",125531,46241,20444,40,031
"Adair County, Oklahoma",22236,33404,5897,40,001
"Stephens County, Oklahoma",44806,43781,6740,40,137
"Carter County, Oklahoma",48442,44531,7262,40,019
"Greer County, Oklahoma",6117,40125,735,40,055
"McIntosh County, Oklahoma",20280,36011,4209,40,091
"Murray County, Oklahoma",13733,47077,2012,40,099
"Ottawa County, Oklahoma",32085,36347,7112,40,115
"Caddo County, Oklahoma",29495,40674,5976,40,015
"Muskogee County, Oklahoma",70224,39984,14670,40,101
"Bryan County, Oklahoma",44003,38847,7816,40,013
"Jackson County, Oregon",208363,44028,39122,41,029
"Grant County, Oregon",7276,38046,1138,41,023
"Clackamas County, Oregon",389438,65965,36894,41,005
"Tillamook County, Oregon",25430,42581,4310,41,057
"Josephine County, Oregon",83409,37665,16627,41,033
"Umatilla County, Oregon",76738,48101,12733,41,059
"Columbia County, Oregon",49389,53179,6638,41,009
"Wasco County, Oregon",25492,43422,4015,41,065
"Lane County, Oregon",357060,44103,70308,41,039
"Washington County, Oregon",556210,66754,64861,41,067
"Clatsop County, Oregon",37382,46408,5791,41,007
"Cameron County, Pennsylvania",4869,39897,626,42,023
"Bucks County, Pennsylvania",626583,77568,36868,42,017
"Lehigh County, Pennsylvania",356756,56117,45488,42,077
"Clarion County, Pennsylvania",39454,42536,6881,42,031
"Greene County, Pennsylvania",37938,46661,4672,42,059
"Luzerne County, Pennsylvania",320095,45897,48822,42,079
"Columbia County, Pennsylvania",66912,45374,10067,42,037
"Jefferson County, Pennsylvania",44756,42903,6414,42,065
"Perry County, Pennsylvania",45677,57177,4217,42,099
"Sullivan County, Pennsylvania",6381,44189,802,42,113
"Kent County, Rhode Island",164958,64383,13763,44,003
"Washington County, Rhode Island",126405,72807,11939,44,009
"Newberry County, South Carolina",37690,40127,6436,45,071
"Woodbury County, Iowa",102530,46720,14557,19,193
"Jackson County, Iowa",19572,49028,2343,19,097
"Lee County, Iowa",35369,43312,5791,19,111
"Warren County, Iowa",47542,64447,3124,19,181
"Plymouth County, Iowa",24853,57130,1907,19,149
"Clay County, Iowa",16537,50389,1848,19,041
"Delaware County, Iowa",17507,58274,1717,19,055
"Wayne County, Iowa",6384,43358,834,19,185
"Scott County, Iowa",169994,55114,20229,19,163
"Sherman County, Kansas",6054,39029,1125,20,181
"Thomas County, Kansas",7925,48504,733,20,193
"Morris County, Kansas",5750,47089,505,20,127
"Wagoner County, Oklahoma",75391,55715,8150,40,145
"Rooks County, Kansas",5186,43558,723,20,163
"Clark County, Kansas",2145,42589,311,20,025
"Harper County, Kansas",5861,43973,933,20,077
"Lyon County, Kansas",33462,40021,6919,20,111
"Pawnee County, Kansas",6911,43250,464,20,145
"Comanche County, Kansas",2010,45288,140,20,033
"Gove County, Kansas",2735,46364,219,20,063
"Harvey County, Kansas",34835,51327,4415,20,079
"Gray County, Kansas",6065,61000,597,20,069
"Chase County, Kansas",2722,38707,360,20,017
"Grant County, Kansas",7816,55432,795,20,067
"Logan County, Kansas",2793,46875,232,20,109
"Pottawatomie County, Kansas",22625,60216,1992,20,149
"Butler County, Kansas",66092,58897,6620,20,015
"Saline County, Kansas",55735,47801,8700,20,169
"Wabaunsee County, Kansas",6997,54688,404,20,197
"Woodson County, Kansas",3211,35787,714,20,207
"Osborne County, Kansas",3782,40216,564,20,141
"Finney County, Kansas",37133,49227,6222,20,055
"Kiowa County, Kansas",2536,43963,364,20,097
"Barton County, Kansas",27399,44013,4261,20,009
"Doniphan County, Kansas",7859,47209,892,20,043
"Lane County, Kansas",1674,56507,149,20,101
"Marion County, Kansas",12290,45927,1306,20,115
"Brown County, Kansas",9880,43724,1598,20,013
"Riley County, Kansas",75022,44437,14922,20,161
"Dickinson County, Kansas",19516,49096,2005,20,041
"Garrard County, Kentucky",16976,44243,3653,21,079
"Campbell County, Kentucky",91475,54621,12883,21,037
"Grant County, Kentucky",24670,44824,4445,21,081
